Location,Latitude,Longitude
Suraksha Diagnostics - Airport Gate No. 2,22.6438579,88.4298691
Suraksha Diagnostics - Ballygunge,22.5316377,88.0597789
Suraksha Diagnostics- Barasat,22.7217077,88.468703
Suraksha Diagnostics- Barrackpore,22.7613543,88.3639559
Suraksha Diagnostics- Bhatpara,22.8371617,88.3455182
Suraksha Diagnostics- Behala,22.4817205,88.3111013
Suraksha Diagnostics- Chinar Park,22.6260621,88.4313209
Suraksha Diagnostics- Dankuni,22.6808509,88.2887391
Suraksha Diagnostics- Dunlop,22.6520311,88.3704058
Suraksha Diagnostics- Diamond Harbour,22.3257663,88.1118694
Suraksha Diagnostics- Garia,22.4537836,88.3856084
Suraksha Diagnostics- Howrah,22.5457781,88.2291918
Suraksha Diagnostics- Kalikapur,22.504492,88.3959267
Suraksha Diagnostics- Kasba,22.5140369,88.390552
Suraksha Diagnostics- Laketown,22.6090648,88.3955907
Suraksha Diagnostics- Madhyamgram,22.6926272,88.461464
Suraksha Diagnostics- Mahabirtala,22.4924758,88.3366938
Suraksha Diagnostics- Nagerbazar,22.6249935,88.4148309
Suraksha Diagnostics- Newtown,22.6250724,88.3762059
Suraksha Diagnostics- NRS,22.563687,88.3664086
Suraksha Diagnostics- New Barrackpore,22.6883922,88.4424757
Suraksha Diagnostics- Phoolbagan,22.5732956,88.3876021
Suraksha Diagnostics- Rajarhat,22.573438,88.3077748
Suraksha Diagnostics- Salt Lake DD 18/1,22.5909516,88.4073075
Suraksha Diagnostics- Salt Lake JC 21,22.5695014,88.409384
Suraksha Diagnostics- Sodepur,22.6955946,88.3949765
Suraksha Diagnostics- Sinthee,22.6295712,88.375762
Suraksha Diagnostics- Serampore,22.7459073,88.3441961
Suraksha Diagnostics- Tamluk,22.2949242,87.911584
Suraksha Diagnostics- Tollygunge,22.4847268,88.3536673
