ward,number_of_household,total_population,total_population_males,total_population_females,person_aged_0_6,literate_population,literate_population_males,literate_population_females,iletrate_population,iletrate_population_males,iletrate_population_females,total_worker_population,total_worker_population_males,total_worker_population_females,non_working_population,non_working_population_males,non_working_population_females,literacy_rate,Region,lat,long,postal_code,Unnamed: 23,localities
1,11394,53125,27945,25180,4033,42277,23119,19158,10848,4826,6022,20240,16504,3736,32885,11441,21444,86.12,Kolkata,22.617889,88.370556,700 003,,"shayambazar, bagbazar,S.D's Nurses And Aya Center Hati Bagan Shyambazar"
10,5139,27700,14513,13187,1160,24518,12996,11522,3182,1517,1665,11784,8867,2917,15916,5646,10270,92.38,Kolkata,22.597889,88.364326,700 004,,"hati bagan , Sovabazar Metro Station,maniktala,Fariapukur Shyam Bazar,R G Kar Medical College and Hospital Bidhan Sarani Shyam Bazar"
100,7269,25507,12386,13121,1341,23195,11401,11794,2312,985,1327,9477,6833,2644,16030,5553,10477,95.98,Kolkata,22.473833,88.371694,700 047,,"naktala,garia,ganguli bagan,Wowkids Kiddie Momentz - Best Preschool near Naktala Naktala"
101,10934,40208,19831,20377,2526,35933,17940,17993,4275,1891,2384,15311,11670,3641,24897,8161,16736,95.36,Kolkata,22.476833,88.381694,"700 084, 700 094, 700 086",,"baliya garia,patuli,panchasayar garia,fartabad garia,Baishnabghata Patuli Township,baghajatin,Bagha Jatin Pally"
102,5867,21503,10624,10879,1321,18877,9554,9323,2626,1070,1556,8449,6272,2177,13054,4352,8702,93.53,Kolkata,22.486833,88.376694,"700 032, 700 092",,"jadavpur,poddar nagar jadavpur,Jadavpur University Campus Area,ganguly bagan,ananda pally"
103,7105,25428,12499,12929,1363,22806,11347,11459,2622,1152,1470,10255,7088,3167,15173,5411,9762,94.77,Kolkata,22.491833,88.383694,700 075,,"santoshpur,viveknagar"
104,9224,33185,16385,16800,1795,30144,15035,15109,3041,1350,1691,12436,9396,3040,20749,6989,13760,96.03,Kolkata,22.498833,88.383694,"700 075, 700 099",,"santoshpur,viveknagar, kalikapur haltu,jagatipota,mukundapur"
105,5639,21267,10609,10658,1226,18811,9598,9213,2456,1011,1445,8461,6416,2045,12806,4193,8613,93.86,Kolkata,22.506833,88.387694,700 078,,"south purbanchal haltu,baidyapara gariya,north purbachal haltu"
106,10558,40618,20466,20152,2894,35071,18066,17005,5547,2400,3147,16751,12331,4420,23867,8135,15732,92.97,Kolkata,22.508833,88.387694,700 078,,"south purbanchal haltu,baidyapara garia,north purbachal haltu"
107,13518,54260,27977,26283,4129,45146,23914,21232,9114,4063,5051,22045,16888,5157,32215,11089,21126,90.06,Kolkata,22.514833,88.397694,700 046,,"topsia,beniapukur,park circus ,tangra,kustia"
108,15854,64777,33428,31349,7204,46487,25513,20974,18290,7915,10375,26447,19337,7110,38330,14091,24239,80.74,Kolkata,22.522133,88.409694,700 107,,"ruby general hospital,hussainpur,acropolis mall , kasba"
